X0,Y0,X1,Y1
298,144.000,157.501,109.3004
299,109.562,158.030,109.4411
300,115.455,158.559,109.5811
301,155.592,159.087,109.7204
302,131.302,159.616,109.8591
303,85.767,160.144,109.9970
304,86.364,160.673,110.1342
305,106.771,161.201,110.2707
306,86.515,161.730,110.4065
307,72.519,162.258,110.5417
308,80.000,162.787,110.6761
309,77.765,163.315,110.8098
310,77.033,163.844,110.9428
311,120.047,164.372,111.0751
312,142.212,164.901,111.2067
313,81.916,165.429,111.3376
314,75.676,165.958,111.4678
315,72.367,166.486,111.5973
316,105.568,167.015,111.7261
317,89.913,167.544,111.8542
318,111.462,168.072,111.9816
319,111.514,168.601,112.1083
320,77.020,169.129,112.2343
321,80.426,169.658,112.3596
322,78.049,170.186,112.4842
323,95.489,170.715,112.6080
324,128.674,171.243,112.7312
325,76.282,171.772,112.8537
326,86.869,172.300,112.9755
327,78.333,172.829,113.0966
328,93.990,173.357,113.2169
329,97.847,173.886,113.3366
330,70.000,174.414,113.4556
331,80.622,174.943,113.5739
332,81.376,175.471,113.6914
333,70.795,176.000,113.8083
334,70.612,176.529,113.9245
335,85.862,177.057,114.0399
336,84.848,177.586,114.1547
337,68.157,178.114,114.2688
338,65.000,178.643,114.3821
339,71.790,179.171,114.4948
340,73.220,179.700,114.6067
341,111.597,180.228,114.7180
342,80.000,180.757,114.8285
343,145.230,181.285,114.9384
344,122.348,181.814,115.0475
345,131.184,182.342,115.1560
346,77.702,182.871,115.2637
347,81.572,183.399,115.3707
348,164.962,183.928,115.4771
349,87.431,184.456,115.5827
350,99.867,184.985,115.6877
351,107.680,185.514,115.7919
352,126.667,186.042,115.8954
353,141.086,186.571,115.9983
354,148.902,187.099,116.1004
355,148.362,187.628,116.2018
356,148.725,188.156,116.3025
357,121.411,188.685,116.4025
358,137.008,189.213,116.5019
359,157.932,189.742,116.6005
360,138.561,190.270,116.6984
361,142.737,190.799,116.7956
362,92.816,191.327,116.8921
363,153.438,191.856,116.9879
364,145.114,192.384,117.0831
365,127.617,192.913,117.1775
366,135.133,193.441,117.2712
367,146.420,193.970,117.3642
368,113.131,194.499,117.4565
369,117.689,195.027,117.5481
370,137.153,195.556,117.6390
371,115.180,196.084,117.7292
372,102.045,196.613,117.8187
373,97.936,197.141,117.9075
374,130.833,197.670,117.9956
375,114.205,198.198,118.0829
376,127.702,198.727,118.1696
377,133.097,199.255,118.2556
378,87.841,199.784,118.3409
379,73.119,200.312,118.4255
380,80.000,200.841,118.5094
381,80.000,201.369,118.5925
382,74.324,201.898,118.6750
383,92.358,202.426,118.7568
384,103.636,202.955,118.8379
385,107.153,203.483,118.9182
386,103.138,204.012,118.9979
387,126.780,204.541,119.0769
388,99.697,205.069,119.1551
389,68.333,205.598,119.2327
390,80.227,206.126,119.3096
391,70.802,206.655,119.3857
392,120.606,207.183,119.4612
393,119.110,207.712,119.5359
394,133.308,208.240,119.6100
395,95.101,208.769,119.6833
