Wavelength,Intensity
532.174,3785.12
532.521,3861.38
532.869,3800.5
533.216,3836.38
533.563,3791.88
533.911,3866.25
534.258,3791
534.605,3877.38
534.952,3812.88
535.299,3857.62
535.646,3801.62
535.993,3896.38
536.34,3785.25
536.687,3835.25
537.034,3824.62
537.381,3848.25
537.728,3810.25
538.075,3837.62
538.421,3784.88
538.768,3875.38
539.114,3795.5
539.461,3855.12
539.807,3793.5
540.154,3863.38
540.5,3797.38
540.847,3868.88
541.193,3784.12
541.539,3856.5
541.885,3811.12
542.231,3838
542.578,3814.88
542.924,3863.38
543.27,3808.5
543.616,3862.5
543.961,3788.88
544.307,3879.5
544.653,3781.25
544.999,3870.38
545.345,3799.75
545.69,3866.12
546.036,3810.12
546.381,3863.5
546.727,3778.75
547.072,3874.75
547.418,3801.5
547.763,3869.75
548.109,3823.5
548.454,3866.12
548.799,3800.62
549.144,3883.75
549.489,3792.5
549.834,3892.5
550.18,3795.25
550.525,3847.5
550.869,3816.62
551.214,3858.12
551.559,3805.25
551.904,3884.25
552.249,3781.5
552.593,3876.88
552.938,3799.38
553.283,3873.12
553.627,3817.75
553.972,3878.38
554.316,3810.25
554.661,3851.25
555.005,3807
555.349,3866.25
555.694,3846
556.038,3887.38
556.382,3820.88
556.726,3890.75
557.07,3804.38
557.414,3876.25
557.758,3795.12
558.102,3855.38
558.446,3805.38
558.79,3887.25
559.134,3812.88
559.477,3835.88
559.821,3806.38
560.165,3892.75
560.508,3819.62
560.852,3891.88
561.195,3803.38
561.539,3887.38
561.882,3788
562.226,3895.88
562.569,3850
562.912,3910.88
563.255,3795.12
563.599,3859.88
563.942,3821.88
564.285,3878.5
564.628,3823.62
564.971,3894.5
565.314,3822.38
565.657,3893.88
565.999,3801.62
566.342,3880.12
566.685,3810.62
567.028,3879.88
567.37,3845
567.713,3907.88
568.055,3814
568.398,3894.38
568.74,3823
569.083,3883.75
569.425,3851.38
569.767,3879.88
570.109,3834.12
570.452,3906.5
570.794,3815.5
571.136,3865.12
571.478,3745
571.82,3904.62
572.162,3842.75
572.504,3911
572.846,3829.5
573.187,3893.75
573.529,3829.88
573.871,3912.5
574.212,3868.38
574.554,3897.62
574.896,3840
575.237,3882.5
575.579,3832
575.92,3903
576.261,3861
576.603,3899.25
576.944,3832
577.285,3890.75
577.626,3838.38
577.967,3905
578.308,3842.38
578.649,3897.12
578.99,3818.62
579.331,3925
579.672,3857.12
580.013,3906.62
580.354,3824.12
580.694,3884.25
581.035,3890.62
581.376,3880.38
581.716,3844.5
582.057,3915.88
582.397,3853.38
582.738,3898.5
583.078,3825.25
583.418,3872.5
583.759,3831.12
584.099,3885.38
584.439,3832.12
584.779,3894.5
585.119,3871
585.459,4063.5
585.799,3814
586.139,3909.38
586.479,3825.62
586.819,3903
587.159,3832.62
587.499,3905.12
587.838,3821.5
588.178,3910.88
588.517,3827.75
588.857,3896.5
589.196,3823
589.536,3908.5
589.875,3831.75
590.215,3899.75
590.554,3816.62
590.893,3888.38
591.232,3826
591.572,3913.12
591.911,3877.38
592.25,3904
592.589,3841.25
592.928,3883.12
593.266,3820.25
593.605,3884.38
593.944,3803.88
594.283,3918
594.622,3828.88
594.96,3903.75
595.299,3830.12
595.637,3903.88
595.976,3854
596.314,3900.38
596.653,3825.5
596.991,3908.38
597.329,3807.88
597.668,3910.38
598.006,3845.38
598.344,3901.88
598.682,3841.12
599.02,3903
599.358,3815.88
599.696,3887.88
600.034,3850.25
600.372,3937.62
600.71,3830.12
601.047,3906.25
601.385,3837.62
601.723,3896.62
602.06,3848
602.398,3856.5
602.735,3841.12
603.073,3921
603.41,3824.5
603.748,3881.75
604.085,3861.75
604.422,3896
604.759,3830.75
605.097,3887.38
605.434,3823.62
605.771,3914.75
606.108,3836.75
606.445,3885.88
606.782,3809.62
607.118,3874.12
607.455,3816.12
607.792,3916.75
608.129,3820.88
608.465,3890.5
608.802,3828.88
609.139,3906.75
609.475,3813.75
609.811,3881.12
610.148,3827.75
610.484,3871
610.821,3822.5
611.157,3899.62
611.493,3818.38
611.829,3883.75
612.165,3802.25
612.501,3866.12
612.837,3789.5
613.173,3894.38
613.509,3825
613.845,3886.75
614.181,3811.75
614.517,3902.38
614.852,3806.38
615.188,3882.25
615.524,3810.25
615.859,3857.25
616.195,3789.25
616.53,3857.62
616.865,3798.38
617.201,3865.62
617.536,3792
617.871,3880.12
618.207,3784.5
618.542,3854.38
618.877,3793.12
619.212,3850.25
619.547,3780.25
619.882,3848.75
620.217,3796.5
620.552,3861.88
620.886,3775.5
621.221,3860.25
621.556,3795.88
621.89,3890.12
622.225,3813.25
622.56,3880.75
622.894,3839.88
623.229,3881.5
623.563,3783.5
623.897,3883.75
624.232,3838.38
624.566,3934.62
624.9,3840.5
625.234,3913.62
625.568,3898.12
625.902,3971.75
626.236,3876.75
626.57,3954.25
626.904,3869.5
627.238,3920.5
627.572,3821.88
627.905,3881.75
628.239,3818.38
628.573,3877.25
628.906,3807
629.24,3883.12
629.573,3813.88
629.907,3894.12
630.24,3807.88
630.574,3904.62
630.907,3864
631.24,3945
631.573,3926.38
631.906,4029.75
632.239,3944
632.572,4061.38
632.905,4031
633.238,4476.38
633.571,8352
633.904,20796.38
634.237,38647.38
634.57,50856.5
634.902,47859.25
635.235,38247.12
635.567,24630.12
635.9,15140.5
636.232,9849.62
636.565,7576.75
636.897,6144.5
637.229,5375.38
637.562,4814
637.894,4479
638.226,4088.62
638.558,3990.38
638.89,3857
639.222,3885.88
639.554,3783.88
639.886,3843.25
640.218,3790.5
640.55,3871.38
640.882,3826
641.213,3847.5
641.545,3786.12
641.876,3837.88
642.208,3785.62
642.54,3843.88
642.871,3792.12
643.202,3837.38
643.534,3771.38
643.865,3839.12
644.196,3764.75
644.527,3859.75
644.859,3781
645.19,3813.12
645.521,3775
645.852,3912
646.183,3787.88
646.513,3822.38
646.844,3780.75
647.175,3843.25
647.506,3792
647.836,3826.75
648.167,3763.62
648.498,3825.62
648.828,3746.75
649.159,3841.25
649.489,3765.88
649.819,3829.25
650.15,3780.75
650.48,3807.25
650.81,3747.12
651.14,3812.75
651.471,3778.62
651.801,3854.12
652.131,3765.88
652.461,3817.5
652.79,3740.75
653.12,3817.12
653.45,3744.62
653.78,3802.12
654.11,3755.75
654.439,3820.25
654.769,3767
655.098,3871.38
655.428,3765.25
655.757,3814
656.087,3743.38
656.416,3816.5
656.745,3771.12
657.074,3798.5
657.404,3771.38
657.733,3802.88
658.062,3721.25
658.391,3800.25
658.72,3740.88
659.049,3829.62
659.378,3761.5
